SourceName,DestName
id,claimid
claimNumber,claimnumber
state,claimstate
lobCode,lobcode
lossDate,lossdate
lossType,losstype
lossCause,losscause
reportedDate,reporteddate
reportedByType,reportedbytype
description,description
segment,segment
flagged,flagged
faultRating,faultrating
howReported,howreported
incidentOnly,incidentonly
jurisdiction,jurisdiction
validationLevel,validationlevel
assignmentStatus,assignmentstatus
policyNumber,policynumber
policy,null
`policy`.`id`,policyid
`policy`.`effectiveDate`,policyeffectivedate
`policy`.`expirationDate`,policyexpirationdate
`policy`.`productCode`,policyproductcode
strategy,null
`strategy`.`code`,strategycode
`strategy`.`name`,strategyname
lossLocation,null
`lossLocation`.`addressLine1`,losslocation_address1
`lossLocation`.`addressLine2`,losslocation_address2
`lossLocation`.`city`,losslocation_city
`lossLocation`.`state`.`code`,losslocation_statecode
`lossLocation`.`state`.`name`,losslocation_statename
`lossLocation`.`postalCode`,losslocation_postalcode
`lossLocation`.`country`,losslocation_country
insured,null
`insured`.`displayName`,insured_name
`insured`.`id`,insured_contactid
mainContact,null
`mainContact`.`displayName`,maincontact_name
`mainContact`.`id`,maincontact_id
reporter,null
`reporter`.`displayName`,reporter_name
`reporter`.`id`,reporter_id
assignedUser,null
`assignedUser`.`displayName`,assigneduser_name
`assignedUser`.`id`,assigneduser_id
assignedGroup,null
`assignedGroup`.`displayName`,assignedgroup_name
`assignedGroup`.`id`,assignedgroup_id
assignedByUser,null
`assignedByUser`.`displayName`,assignedbyuser_name
`assignedByUser`.`id`,assignedbyuser_id
activities,activities
contacts,contacts
exposures,exposures
reserves,reserves
policyAddresses,policyaddresses
vehicle-incidents,vehicle_incidents
notes,notes
$refs,null
