SourceName,DestName
id,claimid
claimNumber,claimnumber
state,null
`state`.`code`,claimstate
lobCode,null
`lobCode`.`code`,lobcode
lossDate,lossdate
lossType,null
`lossType`.`code`,losstype
lossCause,null
`lossCause`.`code`,losscause
reportedDate,reporteddate
reportedByType,null
`reportedByType`.`code`,reportedbytype
description,description
segment,null
`segment`.`code`,segment
flagged,null
`flagged`.`code`,flagged
faultRating,null
`faultRating`.`code`,faultrating
incidentOnly,incidentonly
assignmentStatus,null
`assignmentStatus`.`code`,assignmentstatus
policyNumber,policynumber
policy,null
`policy`.`policyNumber`,policy_policynumber
`policy`.`policyType`.`code`,policytype
`policy`.`effectiveDate`,policyeffectivedate
`policy`.`expirationDate`,policyexpirationdate
lossLocation,null
`lossLocation`.`addressLine1`,losslocation_address1
`lossLocation`.`city`,losslocation_city
`lossLocation`.`state`.`code`,losslocation_statecode
`lossLocation`.`postalCode`,losslocation_postalcode
coverageInQuestion,coverageinquestion
exposures,exposures
contacts,contacts
vehicleIncidents,vehicleincidents
validationLevel,null
`validationLevel`.`code`,validationlevel
allValidationLevelsReached,null
assignedUser,null
`assignedUser`.`id`,assigneduser_id
assignedGroup,null
`assignedGroup`.`id`,assignedgroup_id
