SourceName,DestName
id,paymentid
claimId,claimid
claimNumber,claimnumber
description,description
lobCode,null
`lobCode`.`code`,lobcode
lossType,null
`lossType`.`code`,losstype
segment,null
`segment`.`code`,segment
policyNumber,policynumber
costType,null
`costType`.`code`,costtype
costCategory,null
`costCategory`.`code`,costcategory
coverage,null
`coverage`.`code`,coverage
paymentType,null
`paymentType`.`code`,paymenttype
status,null
`status`.`code`,paymentstatus
currency,null
`currency`.`code`,currency
createdVia,null
`createdVia`.`code`,createdvia
checkNumber,checknumber
createTime,createtime
issueDate,issuedate
amount,amount
transactionAmount,transactionamount
lineItems,lineitems
exposure,null
`exposure`.`displayName`,exposure_name
`exposure`.`id`,exposure_id
reserve,null
`reserve`.`id`,reserve_id
payee,payee
assignedUser,null
`assignedUser`.`displayName`,assigneduser_name
`assignedUser`.`id`,assigneduser_id
assignedGroup,null
`assignedGroup`.`displayName`,assignedgroup_name
`assignedGroup`.`id`,assignedgroup_id
validationLevel,null
`validationLevel`.`code`,validationlevel
previousStatus,null
updateTime,updatetime
